Point_ID,Line_ID,Station,Date_Time,Latitude,Longitude,Easting_km_local,Northing_km_local,Elevation_m,Survey_Template,Mag_Raw_TMI_nT,Mag_Base_Station_nT,Mag_Diurnal_Correction_nT,Mag_IGRF_Reference_nT,Mag_Heading_Correction_nT,Mag_Leveling_Correction_nT,Mag_Anomaly_nT,GPS_Altitude_m,Sensor_Height_m,Heading_deg,Lag_Correction_nT,Quality_Flag
SYN00000,L001,0,2026-01-15 00:00:00,29.91001971786658,30.89597292447034,-10.0,-9.987811316809823,86.70469102644348,Airborne Magnetic,40964.45884676885,40965.01218868319,0.0,41000.0,1.34970632606319,-2.3007921073742064,-37.84194533852241,577.7276088648841,30.0,92.5,0.0,GOOD
SYN00001,L001,1,2026-01-15 00:00:15,29.909535140862616,30.91083393526029,-8.571428571428571,-10.04159936424962,89.04556604489528,Airborne Magnetic,40971.191674098765,40968.529829207175,1.0496370712668104,41000.0,1.34970632606319,-2.3007921073742064,-32.15875507987329,576.4337594579665,30.0,92.5,0.052438385764853476,GOOD
SYN00002,L001,2,2026-01-15 00:00:30,29.910180342773263,30.925694946050243,-7.142857142857142,-9.96998195216774,88.75975459428773,Airborne Magnetic,40974.36524659109,40972.172875190685,2.0929084562336153,41000.0,1.34970632606319,-2.3007921073742064,-30.02845397251184,574.1048461816999,30.0,92.5,0.10429839973464149,GOOD
SYN00003,L001,3,2026-01-15 00:00:45,29.91024885215005,30.940555956840193,-5.714285714285714,-9.96237741134435,92.4301785565547,Airborne Magnetic,40979.87027180488,40975.75190830294,3.1235042996572826,41000.0,1.34970632606319,-2.3007921073742064,-25.554024602149354,577.5816324109728,30.0,92.5,0.1550080492949016,GOOD
SYN00004,L001,4,2026-01-15 00:01:00,29.909206834166252,30.955416967630146,-4.285714285714286,-10.078041407546154,92.69116756774001,Airborne Magnetic,40988.83375111196,40979.20767287817,4.135225832294488,41000.0,1.34970632606319,-2.3007921073742064,-17.602266827708434,579.522885057319,30.0,92.5,0.2040080298328865,GOOD
SYN00005,L001,5,2026-01-15 00:01:15,29.909440656033563,30.970277978420096,-2.8571428571428568,-10.052087180274492,91.2334692215853,Airborne Magnetic,40988.9175373912,40982.80505567687,5.122039479861575,41000.0,1.34970632606319,-2.3007921073742064,-18.505294196032253,581.4073007639075,30.0,92.5,0.2507578936157271,GOOD
SYN00006,L001,6,2026-01-15 00:01:30,29.909955978523662,30.98513898921005,-1.4285714285714288,-9.99488638387331,97.91152813408317,Airborne Magnetic,40994.82600766506,40986.4336850447,6.0781292685632184,41000.0,1.34970632606319,-2.3007921073742064,-13.552913710876226,592.667546012053,30.0,92.5,0.29474201068569744,GOOD
SYN00007,L001,7,2026-01-15 00:01:45,29.909795948615372,31.0,0.0,-10.012649703693743,99.65851555554912,Airborne Magnetic,40997.93615671006,40989.98735029631,6.997946988202592,41000.0,1.34970632606319,-2.3007921073742064,-11.36258238551926,599.6585155555491,30.0,92.5,0.335475256026589,GOOD
SYN00008,L001,8,2026-01-15 00:02:00,29.90990385543874,31.01486101078995,1.4285714285714288,-10.000672046300172,104.91711752142257,Airborne Magnetic,41002.86674450885,40993.57075652513,7.8762595981837435,41000.0,1.34970632606319,-2.3007921073742064,-7.310307196706333,610.1610996434528,30.0,92.5,0.3725083602743084,GOOD
SYN00009,L001,9,2026-01-15 00:02:15,29.909602506692767,31.029722021579904,2.8571428571428577,-10.034121757102943,112.66214892113715,Airborne Magnetic,41006.445384405335,40997.10873538575,8.708193391585088,41000.0,1.34970632606319,-2.3007921073742064,-4.563601093622481,622.4883173788149,30.0,92.5,0.4054328649557698,GOOD
