Point_ID,Line_ID,Station,Date_Time,Latitude,Longitude,Easting_km_local,Northing_km_local,Elevation_m,Survey_Template,Mag_Raw_TMI_nT,Mag_Base_Station_nT,Mag_Diurnal_Correction_nT,Mag_IGRF_Reference_nT,Mag_Heading_Correction_nT,Mag_Leveling_Correction_nT,Mag_Anomaly_nT,GPS_Altitude_m,Sensor_Height_m,Heading_deg,Roll_deg,Pitch_deg,Yaw_deg,Quality_Flag
SYN00000,L001,0,2026-01-15 00:00:00,29.91001971786658,30.89597292447034,-10.0,-9.987811316809823,86.70469102644348,UAV Magnetic,40964.45884676885,40965.01218868319,0.0,41000.0,1.34970632606319,-2.3007921073742064,-37.84194533852241,139.5814638504329,5.0,185.0,0.0,1.5,185.0,GOOD
SYN00001,L001,1,2026-01-15 00:00:15,29.909535140862616,30.91083393526029,-8.571428571428571,-10.04159936424962,89.04556604489528,UAV Magnetic,40971.191674098765,40968.529829207175,1.0496370712668104,41000.0,1.34970632606319,-2.3007921073742064,-32.15875507987329,141.77660687782762,5.0,185.0,0.1399787838731159,1.497135937204513,185.0,GOOD
SYN00002,L001,2,2026-01-15 00:00:30,29.910180342773263,30.925694946050243,-7.142857142857142,-9.96998195216774,88.75975459428773,UAV Magnetic,40974.36524659109,40972.172875190685,2.0929084562336153,41000.0,1.34970632606319,-2.3007921073742064,-30.02845397251184,140.00991954954821,5.0,185.0,0.27927103779959966,1.4885546859589807,185.0,GOOD
SYN00003,L001,3,2026-01-15 00:00:45,29.91024885215005,30.940555956840193,-5.714285714285714,-9.96237741134435,92.4301785565547,UAV Magnetic,40979.87027180488,40975.75190830294,3.1235042996572826,41000.0,1.34970632606319,-2.3007921073742064,-25.554024602149354,141.58829035801162,5.0,185.0,0.41719359893856595,1.4742890159199775,185.0,GOOD
SYN00004,L001,4,2026-01-15 00:01:00,29.909206834166252,30.955416967630146,-4.285714285714286,-10.078041407546154,92.69116756774001,UAV Magnetic,40988.83375111196,40979.20767287817,4.135225832294488,41000.0,1.34970632606319,-2.3007921073742064,-17.602266827708434,140.16880625035427,5.0,185.0,0.553070022146557,1.454393404120586,185.0,GOOD
SYN00005,L001,5,2026-01-15 00:01:15,29.909440656033563,30.970277978420096,-2.8571428571428568,-10.052087180274492,91.2334692215853,UAV Magnetic,40988.9175373912,40982.80505567687,5.122039479861575,41000.0,1.34970632606319,-2.3007921073742064,-18.505294196032253,138.26375999246892,5.0,185.0,0.6862338976220838,1.4289438269362027,185.0,GOOD
SYN00006,L001,6,2026-01-15 00:01:30,29.909955978523662,30.98513898921005,-1.4285714285714288,-9.99488638387331,97.91152813408317,UAV Magnetic,40994.82600766506,40986.4336850447,6.0781292685632184,41000.0,1.34970632606319,-2.3007921073742064,-13.552913710876226,145.9462944425476,5.0,185.0,0.816032119331546,1.398037469949728,185.0,GOOD
SYN00007,L001,7,2026-01-15 00:01:45,29.909795948615372,31.0,0.0,-10.012649703693743,99.65851555554912,UAV Magnetic,40997.93615671006,40989.98735029631,6.997946988202592,41000.0,1.34970632606319,-2.3007921073742064,-11.36258238551926,149.65851555554912,5.0,185.0,0.9418280881864427,1.36179235682408,185.0,GOOD
SYN00008,L001,8,2026-01-15 00:02:00,29.90990385543874,31.01486101078995,1.4285714285714288,-10.000672046300172,104.91711752142257,UAV Magnetic,41002.86674450885,40993.57075652513,7.8762595981837435,41000.0,1.34970632606319,-2.3007921073742064,-7.310307196706333,156.88235121295813,5.0,185.0,1.063004834261797,1.3203468985992877,185.0,GOOD
SYN00009,L001,9,2026-01-15 00:02:15,29.909602506692767,31.029722021579904,2.8571428571428577,-10.034121757102943,112.66214892113715,UAV Magnetic,41006.445384405335,40997.10873538575,8.708193391585088,41000.0,1.34970632606319,-2.3007921073742064,-4.563601093622481,165.63185815025352,5.0,185.0,1.1789680427427898,1.2738593651352752,185.0,GOOD
SYN00010,L001,10,2026-01-15 00:02:30,29.91022681008103,31.044583032369854,4.2857142857142865,-9.964824081005487,114.05402253404299,UAV Magnetic,41011.05719432856,41000.74946163328,9.489274467593658,41000.0,1.34970632606319,-2.3007921073742064,-0.7328722464091579,166.57638385142874,5.0,185.0,1.2891489687587565,1.222507280718774,185.0,GOOD
SYN00011,L001,11,2026-01-15 00:02:45,29.910190195292046,31.059444043159807,5.714285714285715,-9.968888322582842,113.79950604836685,UAV Magnetic,41016.91303084405,41004.316825963135,10.21546510255723,41000.0,1.34970632606319,-2.3007921073742064,4.396773634120848,164.64139424690993,5.0,185.0,1.393007226808661,1.1664867461423811,185.0,GOOD
SYN00012,L001,12,2026-01-15 00:03:00,29.90993370475588,31.074305053949757,7.142857142857142,-9.99735877209755,114.70801679514707,UAV Magnetic,41022.82940013095,41007.85978408505,10.883195654297227,41000.0,1.34970632606319,-2.3007921073742064,9.645412369273629,163.4578518398866,5.0,185.0,1.4900334410972336,1.1060116898445818,185.0,GOOD
SYN00013,L001,13,2026-01-15 00:03:15,29.910316122957465,31.08916606473971,8.571428571428573,-9.954910351721278,117.36179427098607,UAV Magnetic,41024.654626440555,41011.47366107685,11.489391682641925,41000.0,1.34970632606319,-2.3007921073742064,10.864442650540525,164.63075343805374,5.0,185.0,1.5797517437831174,1.0413130509704387,185.0,GOOD
